date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:38:17	224092/224092	---M--	200	added ('OK')	application/javascript	etag:%2236b5c-56f03526ccb80%22	http://2018.outdor.fr/wp-content/themes/outdor/dist/scripts/main_2b479b92.js	./wp-content/themes/outdor/dist/scripts/main_2b479b92.js	(from http://2018.outdor.fr/)
10:38:19	25967/25967	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2009:37:06%20GMT	http://2018.outdor.fr/?p=401	./indexfef8.html	(from http://2018.outdor.fr/les-laureat%c2%b7e%c2%b7s-2018/)
10:38:21	19965/19965	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2009:38:17%20GMT	http://2018.outdor.fr/les-organisateurs/	./les-organisateurs/index.html	(from http://2018.outdor.fr/)
10:38:25	84928/84928	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2009:38:16%20GMT	http://2018.outdor.fr/edition-2017/	./edition-2017/index.html	(from http://2018.outdor.fr/)
10:38:56	194894/194894	---M--	200	added ('OK')	image/jpeg	etag:%22eaad10fc004ee517c662b21d01a194ab%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/06/19150409/0203-SPORT-LAUREATE.jpg	./wp-content/uploads/2018/06/19150409/0203-SPORT-LAUREATE.jpg	(from http://2018.outdor.fr/les-laureat%c2%b7e%c2%b7s-2018/)
10:39:00	243207/243207	---M--	200	added ('OK')	image/jpeg	etag:%22b7a5da48f3b7267c1c9813ff99d8a0a3%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/06/19150409/0103-PERSONNALITE-LAUREAT.jpg	./wp-content/uploads/2018/06/19150409/0103-PERSONNALITE-LAUREAT.jpg	(from http://2018.outdor.fr/les-laureat%c2%b7e%c2%b7s-2018/)
10:39:09	288571/288571	---M--	200	added ('OK')	image/jpeg	etag:%22ef057eab6619978fc66c550ebc1bf51b%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/06/19150410/0303-PRESSE-ETRANGERE-LAUREAT.jpg	./wp-content/uploads/2018/06/19150410/0303-PRESSE-ETRANGERE-LAUREAT.jpg	(from http://2018.outdor.fr/les-laureat%c2%b7e%c2%b7s-2018/)
10:39:19	682045/682045	---M--	200	added ('OK')	image/jpeg	etag:%22c18979dd70b0d5f5e493b4b70ebdb081%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/05/22122312/TFI_Initiatives_logo_CMJN.jpg	./wp-content/uploads/2018/05/22122312/TFI_Initiatives_logo_CMJN.jpg	(from http://2018.outdor.fr/)
10:39:34	233045/233045	---M--	200	added ('OK')	image/jpeg	etag:%22af2e611685a3435fadb25f9f33f66656%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/06/19150413/0603-DOCU-LAUREATE.jpg	./wp-content/uploads/2018/06/19150413/0603-DOCU-LAUREATE.jpg	(from http://2018.outdor.fr/les-laureat%c2%b7e%c2%b7s-2018/)
10:40:01	374855/374855	---M--	200	added ('OK')	image/jpeg	etag:%2270b913bcdcf01311fcdad27f43f93e66%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/06/19150412/0503-CHAINE-YT-LAUREATE.jpg	./wp-content/uploads/2018/06/19150412/0503-CHAINE-YT-LAUREATE.jpg	(from http://2018.outdor.fr/les-laureat%c2%b7e%c2%b7s-2018/)
10:40:05	280779/280779	---M--	200	added ('OK')	image/jpeg	etag:%226486907114340c244ce8309998b1a2b0%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/06/19150415/0703-COUP-DE-GUEULE-LAUREATE.jpg	./wp-content/uploads/2018/06/19150415/0703-COUP-DE-GUEULE-LAUREATE.jpg	(from http://2018.outdor.fr/les-laureat%c2%b7e%c2%b7s-2018/)
10:40:14	400769/400769	---M--	200	added ('OK')	image/jpeg	etag:%225e78d00ecf97ca28958a67a158d124ae%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/06/19150411/0403-ENQUETE-REPORTAGE-LAUREAT.jpg	./wp-content/uploads/2018/06/19150411/0403-ENQUETE-REPORTAGE-LAUREAT.jpg	(from http://2018.outdor.fr/les-laureat%c2%b7e%c2%b7s-2018/)
10:40:15	130/130	---MC-	400	error ('Bad%20Request')	application/json	date:Thu,%2016%20Jan%202020%2009:40:14%20GMT	http://2018.outdor.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2F2018.outdor.fr%2Ftable-ronde%2F	./wp-json/oembed/1.0/embed.297117.delayed	(from http://2018.outdor.fr/table-ronde/)
10:40:17	25967/25967	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2009:37:06%20GMT	http://2018.outdor.fr/?p=20	./index341b.html	(from http://2018.outdor.fr/table-ronde/)
10:40:18	130/130	---MC-	400	error ('Bad%20Request')	application/json	date:Thu,%2016%20Jan%202020%2009:40:17%20GMT	http://2018.outdor.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2F2018.outdor.fr%2Ftable-ronde%2F&format=xml	./wp-json/oembed/1.0/embeda1f4	(from http://2018.outdor.fr/table-ronde/)
10:40:18	130/130	---MC-	400	error ('Bad%20Request')	application/json	date:Thu,%2016%20Jan%202020%2009:40:18%20GMT	http://2018.outdor.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2F2018.outdor.fr%2Fla-remise-des-prix%2F	./wp-json/oembed/1.0/embed6d45	(from http://2018.outdor.fr/la-remise-des-prix/)
10:40:20	25967/25967	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2009:37:06%20GMT	http://2018.outdor.fr/?p=51	./index8cf7.html	(from http://2018.outdor.fr/la-remise-des-prix/)
10:40:20	130/130	---MC-	400	error ('Bad%20Request')	application/json	date:Thu,%2016%20Jan%202020%2009:40:20%20GMT	http://2018.outdor.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2F2018.outdor.fr%2Fla-remise-des-prix%2F&format=xml	./wp-json/oembed/1.0/embed96df	(from http://2018.outdor.fr/la-remise-des-prix/)
10:40:21	130/130	---MC-	400	error ('Bad%20Request')	application/json	date:Thu,%2016%20Jan%202020%2009:40:20%20GMT	http://2018.outdor.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2F2018.outdor.fr%2Fles-categories-recompensees%2F	./wp-json/oembed/1.0/embed2a8a	(from http://2018.outdor.fr/les-categories-recompensees/)
10:40:22	25967/25967	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2009:37:06%20GMT	http://2018.outdor.fr/?p=57	./index9787.html	(from http://2018.outdor.fr/les-categories-recompensees/)
10:40:22	130/130	---MC-	400	error ('Bad%20Request')	application/json	date:Thu,%2016%20Jan%202020%2009:40:22%20GMT	http://2018.outdor.fr/wp-json/oembed/1.0/embed?url=http%3A%2F%2F2018.outdor.fr%2Fles-categories-recompensees%2F&format=xml	./wp-json/oembed/1.0/embed4cd0	(from http://2018.outdor.fr/les-categories-recompensees/)
10:40:28	164958/164958	---M--	200	added ('OK')	image/jpeg	etag:%22ab9485c9d46d825f943d406630c0b55c%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/06/19150417/0903-REDACTION-ENGAGEE-LAUREATE.jpg	./wp-content/uploads/2018/06/19150417/0903-REDACTION-ENGAGEE-LAUREATE.jpg	(from http://2018.outdor.fr/les-laureat%c2%b7e%c2%b7s-2018/)
10:40:28	330660/330660	---M--	200	added ('OK')	image/jpeg	etag:%22e472584511410d6620cf98490829a595%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/06/19150416/0803-DESSIN-LAUREATE.jpg	./wp-content/uploads/2018/06/19150416/0803-DESSIN-LAUREATE.jpg	(from http://2018.outdor.fr/les-laureat%c2%b7e%c2%b7s-2018/)
10:40:31	18954/18954	---M--	200	added ('OK')	image/jpeg	etag:%22b2052e27c5d389a3aa4ed62a10fef65a%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/05/23165507/LezTalk1.jpg	./wp-content/uploads/2018/05/23165507/LezTalk1.jpg	(from http://2018.outdor.fr/les-categories-recompensees/)
10:40:37	91628/91628	---M--	200	added ('OK')	image/jpeg	etag:%226ece06109c52c95127737a9c4de7f56d%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/05/23162403/VVLD1.jpg	./wp-content/uploads/2018/05/23162403/VVLD1.jpg	(from http://2018.outdor.fr/les-categories-recompensees/)
10:40:49	74947/74947	---M--	200	added ('OK')	image/jpeg	etag:%2215ec6e01041d64a0f8afdf5cb0fb37d4%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/05/23162442/BonsoirTino.jpg	./wp-content/uploads/2018/05/23162442/BonsoirTino.jpg	(from http://2018.outdor.fr/les-categories-recompensees/)
10:41:09	397890/397890	---M--	200	added ('OK')	image/jpeg	etag:%228013d743245dcf0dabe92e1b92f46a34%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/06/19150418/1003-CREATION-ARTISTIQUE-LAUREATES.jpg	./wp-content/uploads/2018/06/19150418/1003-CREATION-ARTISTIQUE-LAUREATES.jpg	(from http://2018.outdor.fr/les-laureat%c2%b7e%c2%b7s-2018/)
10:41:27	344097/344097	---M--	200	added ('OK')	image/png	etag:%223119405dcdd039724a83f9aaa82bb78f%22	http://d2gde5ic41h9mc.cloudfront.net/wp-content/uploads/2018/05/23165419/LauraBadler1.png	./wp-content/uploads/2018/05/23165419/LauraBadler1.png	(from http://2018.outdor.fr/les-categories-recompensees/)
